Orthogroup	Most_Annotated_Protein	Species
OG0002609_00	LOCUS9279	Laspla
OG0002610_00	LOCUS4029-2	Laspla
OG0002611_00	LOCUS7278	Laspla
OG0002612_00	LOCUS5027	Laspla
OG0002613_00	LOCUS10463	Laspla
OG0002614_00	G6Z76_0008296	Acrcha
OG0002615_00	GSK-3_g12239_i1	Acafer
OG0002616_00	Peptidase_M16_N-terminal_g11381_i1	Acafer
OG0002617_00	Peptidase_T1A_proteasome_beta-subunit_g04871_i1	Acafer
OG0002618_00	G6Z76_0012409	Acrcha
OG0002619_00	G6Z76_0003635	Acrcha
OG0002620_00	LOCUS12852	Laspla
OG0002621_00	LOCUS6917	Laspla
OG0002622_00	LOCUS8753	Laspla
OG0002623_00	LOCUS197	Laspla
OG0002624_00	G6Z76_0002825	Acrcha
OG0002625_00	LOCUS6705	Laspla
OG0002626_00	LOCUS9223	Laspla
OG0002627_00	G6Z76_0005356	Acrcha
OG0002628_00	LOCUS5729	Laspla
OG0002629_00	LOCUS5726	Laspla
OG0002630_00	LOCUS7277	Laspla
OG0002631_00	LOCUS7148	Laspla
OG0002632_00	LOCUS14670	Laspla
OG0002633_00	LOCUS5508	Laspla
OG0002634_00	Peptidase_M12B_ADAM-TS_g03066_i1	Carobs
OG0002635_00	G6Z76_0001536	Acrcha
OG0002636_00	G6Z76_0012446	Acrcha
OG0002637_00	G6Z76_0002389	Acrcha
OG0002638_00	LOCUS11734	Laspla
OG0002639_00	LOCUS7997	Laspla
OG0002640_00	LOCUS348	Laspla
OG0002641_00	LOCUS285	Laspla
OG0002642_00	LOCUS8223	Laspla
OG0002643_00	G6Z76_0009016	Acrcha
OG0002644_00	G6Z76_0008907	Acrcha
OG0002645_00	Peptidase_C19_ubiquitin_carboxyl-terminal_hydrolase_2_g13068_i1	Acafer
OG0002646_00	polyketide_synthase_enoylreductase_domain_g00219_i2	Acafer
OG0002647_00	LOCUS13974	Laspla
OG0002649_00	LOCUS6438	Laspla
OG0002650_00	LOCUS6738	Laspla
OG0002651_00	LOCUS6458-2	Laspla
OG0002652_00	LOCUS6297	Laspla
OG0002653_00	LOCUS5821	Laspla
OG0002654_00	LOCUS10992	Laspla
OG0002655_00	LOCUS14568	Laspla
OG0002656_00	LOCUS13480	Laspla
OG0002657_00	LOCUS13294	Laspla
OG0002658_00	LOCUS7643	Laspla
OG0002659_00	LOCUS7833	Laspla
OG0002660_00	G6Z76_0011401	Acrcha
OG0002661_00	LOCUS461	Laspla
OG0002662_00	LOCUS12017	Laspla
OG0002663_00	LOCUS14583	Laspla
OG0002664_00	LOCUS5643	Laspla
OG0002665_00	LOCUS1870	Laspla
OG0002666_00	LOCUS191	Laspla
OG0002667_00	LOCUS8017	Laspla
OG0002668_00	LOCUS7330	Laspla
OG0002669_00	LOCUS9088	Laspla
OG0002670_00	LOCUS8629	Laspla
OG0002671_00	LOCUS8713	Laspla
OG0002672_00	LOCUS8853-2	Laspla
OG0002673_00	LOCUS8806	Laspla
OG0002674_00	LOCUS9203	Laspla
OG0002675_00	LOCUS13919	Laspla
OG0002676_00	LOCUS12201	Laspla
OG0002677_00	G6Z76_0014270	Acrcha
OG0002678_00	LOCUS14457	Laspla
OG0002679_00	LOCUS7161	Laspla
OG0002680_00	LOCUS14091	Laspla
OG0002681_00	LOCUS2126	Laspla
OG0002682_00	LOCUS7543	Laspla
OG0002683_00	LOCUS11765	Laspla
OG0002684_00	LOCUS5859	Laspla
OG0002685_00	LOCUS3867	Laspla
OG0002686_00	LOCUS4640	Laspla
OG0002687_00	LOCUS519	Laspla
OG0002688_00	Chaperonins_g04181_i1	Ochgla
OG0002689_00	LOCUS1104	Laspla
OG0002690_00	LOCUS4688	Laspla
OG0002691_00	PHD_finger_g09028_i1	Tetruf
OG0002692_00	LOCUS3822	Laspla
OG0002693_00	LOCUS7589	Laspla
OG0002694_00	LOCUS11082	Laspla
OG0002695_00	LOCUS11372	Laspla
OG0002696_00	LOCUS11360	Laspla
OG0002697_00	LOCUS10922	Laspla
OG0002698_00	LOCUS11212	Laspla
OG0002699_00	LOCUS11220	Laspla
OG0002700_00	LOCUS13947	Laspla
OG0002701_00	LOCUS10719	Laspla
OG0002702_00	LOCUS13998	Laspla
OG0002703_00	LOCUS10492-2	Laspla
OG0002704_00	LOCUS10536	Laspla
OG0002705_00	LOCUS6292	Laspla
OG0002706_00	LOCUS8405	Laspla
OG0002707_00	Alpha_beta_hydrolase_fold-1_g11291_i1	Acafer
OG0002708_00	LOCUS10821	Laspla
OG0002709_00	Chromo-domain_g15991_i1	Acafer
OG0002710_00	LOCUS3995	Laspla
OG0002711_00	Neuroparsin_g04683_i1	Acafer
OG0002712_00	Nucleoporin358_g15850_i1	Acafer
OG0002713_00	Peptidase_S8_S53_subtilisin_kexin_sedolisin_g01152_i1	Acafer
OG0002714_00	LOCUS8388	Laspla
OG0002715_00	LOCUS6410	Laspla
OG0002716_00	LOCUS6434	Laspla
OG0002717_00	LOCUS6766	Laspla
OG0002718_00	LOCUS6859	Laspla
OG0002719_00	LOCUS6464	Laspla
OG0002720_00	G6Z76_0012324	Acrcha
OG0002721_00	LOCUS6756	Laspla
OG0002722_00	LOCUS6346-3	Laspla
OG0002723_00	LOCUS3149	Laspla
OG0002724_00	LOCUS3047	Laspla
OG0002725_00	LOCUS3024	Laspla
OG0002726_00	LOCUS7689	Laspla
OG0002727_00	LOCUS10740	Laspla
OG0002728_00	LOCUS11390	Laspla
OG0002729_00	LOCUS12745	Laspla
OG0002730_00	LOCUS11123	Laspla
OG0002731_00	LOCUS4445	Laspla
OG0002732_00	LOCUS12226	Laspla
OG0002733_00	G6Z76_0000267	Acrcha
OG0002734_00	LOCUS6171	Laspla
OG0002735_00	G6Z76_0011132	Acrcha
OG0002736_00	LOCUS6143	Laspla
OG0002737_00	LOCUS2905	Laspla
OG0002738_00	LOCUS6817	Laspla
OG0002739_00	LOCUS6476	Laspla
OG0002740_00	LOCUS13061	Laspla
OG0002741_00	LOCUS13575	Laspla
OG0002742_00	LOCUS13121	Laspla
OG0002743_00	LOCUS2745	Laspla
OG0002744_00	LOCUS13106	Laspla
OG0002745_00	LOCUS3480	Laspla
OG0002746_00	LOCUS12035	Laspla
OG0002747_00	LOCUS2944	Laspla
OG0002748_00	LOCUS1200	Laspla
OG0002749_00	LOCUS14578	Laspla
OG0002750_00	LOCUS5127	Laspla
OG0002751_00	LOCUS7000	Laspla
OG0002752_00	ACFW04_001433	Catnig
OG0002753_00	LOCUS13216	Laspla
OG0002754_00	LOCUS13628-2	Laspla
OG0002755_00	LOCUS5265	Laspla
OG0002756_00	LOCUS3400	Laspla
OG0002757_00	LOCUS3413	Laspla
OG0002758_00	LOCUS7793	Laspla
OG0002759_00	LOCUS11021	Laspla
OG0002760_00	LOCUS938	Laspla
OG0002761_00	LOCUS757	Laspla
OG0002762_00	LOCUS851	Laspla
OG0002763_00	LOCUS809	Laspla
OG0002764_00	LOCUS6108	Laspla
OG0002765_00	LOCUS5836	Laspla
OG0002766_00	G6Z76_0014529	Acrcha
OG0002767_00	LOCUS4083	Laspla
OG0002768_00	LOCUS10571	Laspla
OG0002769_00	LOCUS10652	Laspla
OG0002770_00	LOCUS10712	Laspla
OG0002771_00	LOCUS11413	Laspla
OG0002772_00	LOCUS5156	Laspla
OG0002773_00	LOCUS1274	Laspla
OG0002774_00	LOCUS5276	Laspla
OG0002775_00	LOCUS5270	Laspla
OG0002776_00	G6Z76_0000359	Acrcha
OG0002777_00	LOCUS14563	Laspla
OG0002778_00	LOCUS2720	Laspla
OG0002779_00	LOCUS5494	Laspla
OG0002780_00	LOCUS14604	Laspla
OG0002781_00	LOCUS14655	Laspla
OG0002782_00	LOCUS8775	Laspla
OG0002783_00	LOCUS9371	Laspla
OG0002784_00	LOCUS9373	Laspla
OG0002785_00	LOCUS402	Laspla
OG0002786_00	LOCUS11009-4	Laspla
OG0002787_00	LOCUS195	Laspla
OG0002788_00	LOCUS208-3	Laspla
OG0002789_00	LOCUS12676	Laspla
OG0002790_00	LOCUS10469-2	Laspla
OG0002791_00	LOCUS10003	Laspla
OG0002792_00	LOCUS9159	Laspla
OG0002793_00	G6Z76_0009602	Acrcha
OG0002794_00	LOCUS8893	Laspla
OG0002795_00	LOCUS9366	Laspla
OG0002796_00	LOCUS8763	Laspla
OG0002797_00	LOCUS8676-2	Laspla
OG0002798_00	G6Z76_0005417	Acrcha
OG0002799_00	LOCUS9080	Laspla
OG0002800_00	LOCUS10060	Laspla
OG0002801_00	LOCUS10067	Laspla
OG0002802_00	LOCUS9980	Laspla
OG0002803_00	LOCUS10035	Laspla
OG0002804_00	LOCUS11717	Laspla
OG0002805_00	LOCUS2320	Laspla
OG0002806_00	LOCUS2313	Laspla
OG0002807_00	LOCUS12440	Laspla
OG0002808_00	LOCUS12431	Laspla
OG0002809_00	LOCUS2478	Laspla
OG0002810_00	LOCUS2495	Laspla
OG0002811_00	LOCUS5304	Laspla
OG0002812_00	LOCUS14443	Laspla
OG0002813_00	LOCUS14438	Laspla
OG0002814_00	LOCUS7158	Laspla
OG0002815_00	LOCUS5443	Laspla
OG0002816_00	LOCUS14098	Laspla
OG0002817_00	LOCUS14102	Laspla
OG0002818_00	LOCUS2124	Laspla
OG0002819_00	LOCUS12151	Laspla
OG0002820_00	LOCUS7637	Laspla
OG0002821_00	LOCUS9495	Laspla
OG0002822_00	LOCUS5907	Laspla
OG0002823_00	LOCUS3991	Laspla
OG0002824_00	LOCUS4367	Laspla
OG0002825_00	LOCUS14062	Laspla
OG0002826_00	LOCUS13764	Laspla
OG0002827_00	LOCUS7114	Laspla
OG0002828_00	G6Z76_0002873	Acrcha
OG0002829_00	LOCUS2401	Laspla
OG0002830_00	LOCUS11646	Laspla
OG0002831_00	LOCUS3766	Laspla
OG0002832_00	LOCUS12234	Laspla
OG0002833_00	LOCUS12521	Laspla
OG0002834_00	LOCUS12512	Laspla
OG0002835_00	G6Z76_0006832	Acrcha
OG0002836_00	LOCUS10626	Laspla
OG0002837_00	LOCUS12608	Laspla
OG0002838_00	LOCUS14727	Laspla
OG0002839_00	G6Z76_0008158	Acrcha
OG0002840_00	LOCUS1102-2	Laspla
OG0002841_00	LOCUS4633	Laspla
OG0002842_00	LOCUS3803	Laspla
OG0002843_00	LOCUS7511	Laspla
OG0002844_00	LOCUS7696	Laspla
OG0002845_00	LOCUS7599-3	Laspla
OG0002846_00	G6Z76_0001496	Acrcha
OG0002847_00	LOCUS11053	Laspla
OG0002848_00	LOCUS11094	Laspla
OG0002849_00	LOCUS11366	Laspla
OG0002850_00	LOCUS11312	Laspla
OG0002851_00	LOCUS10870	Laspla
OG0002852_00	LOCUS11103	Laspla
OG0002853_00	LOCUS11102	Laspla
OG0002854_00	LOCUS10958	Laspla
OG0002855_00	G6Z77_0006700	Acrhey
OG0002856_00	LOCUS11165-2	Laspla
OG0002857_00	LOCUS11172	Laspla
OG0002858_00	LOCUS3943	Laspla
OG0002859_00	LOCUS6551	Laspla
OG0002860_00	LOCUS11294	Laspla
OG0002861_00	LOCUS10517	Laspla
OG0002862_00	LOCUS2049	Laspla
OG0002863_00	LOCUS10422	Laspla
OG0002864_00	G6Z76_0005057	Acrcha
OG0002865_00	LOCUS1985	Laspla
OG0002866_00	LOCUS10216	Laspla
OG0002867_00	LOCUS2185	Laspla
OG0002868_00	G6Z76_0004986	Acrcha
OG0002869_00	LOCUS10191	Laspla
OG0002870_00	LOCUS10194	Laspla
OG0002871_00	LOCUS3604	Laspla
OG0002872_00	G6Z76_0009249	Acrcha
OG0002873_00	LOCUS3608	Laspla
OG0002874_00	LOCUS12054	Laspla
OG0002875_00	LOCUS13165	Laspla
OG0002876_00	G6Z76_0012299	Acrcha
OG0002877_00	LOCUS6290	Laspla
OG0002878_00	LOCUS9387	Laspla
OG0002879_00	LOCUS8066	Laspla
OG0002880_00	LOCUS8251	Laspla
OG0002881_00	LOCUS8550	Laspla
OG0002882_00	LOCUS10406	Laspla
OG0002883_00	LOCUS7991	Laspla
OG0002884_00	LOCUS13185	Laspla
OG0002885_00	Allatotropin_g06800_i2	Acafer
OG0002886_00	LOCUS13870	Laspla
OG0002887_00	Chitinase_g04781_i1	Acafer
OG0002888_00	Cytochrome_P450_g01601_i2	Acafer
OG0002889_00	Cytochrome_P450_g17447_i2	Acafer
OG0002890_00	Germ-cell_expressed_g15099_i1	Acafer
OG0002891_00	HOX_domain_g06392_i1	Acafer
OG0002892_00	LOCUS11670	Laspla
OG0002893_00	LOCUS3249	Laspla
OG0002894_00	MBD_g12809_i1	Acafer
OG0002895_00	Peptidase_C13_legumain_g15792_i1	Acafer
OG0002896_00	Peptidase_C19_ubiquitin_carboxyl-terminal_hydrolase_2_g01523_i1	Acafer
OG0002897_00	Peptidase_C2_calpain_g04824_i1	Acafer
OG0002898_00	Peptidase_M48_Ste24p_g16283_i1	Acafer
OG0002899_00	Peptidase_S1_S6_chymotrypsin_Hap_g07058_i1	Acafer
OG0002900_00	LOCUS4602	Laspla
OG0002901_00	LOCUS14015	Laspla
OG0002903_00	G6Z75_0008017	Acrins
OG0002906_00	G6Z76_0012018	Acrcha
OG0002907_00	LOCUS11423	Laspla
OG0002908_00	G6Z76_0013881	Acrcha
OG0002909_00	LOCUS10749	Laspla
OG0002910_00	G6Z76_0001506	Acrcha
OG0002911_00	LOCUS8558	Laspla
OG0002912_00	LOCUS767	Laspla
OG0002913_00	LOCUS7240	Laspla
OG0002914_00	LOCUS3510	Laspla
OG0002915_00	LOCUS7839	Laspla
OG0002916_00	LOCUS2846	Laspla
OG0002917_00	LOCUS498-2	Laspla
OG0002918_00	LOCUS9534	Laspla
OG0002919_00	LOCUS2031	Laspla
OG0002920_00	LOCUS1314	Laspla
OG0002921_00	LOCUS6981	Laspla
OG0002922_00	G6Z76_0010704	Acrcha
OG0002923_00	LOCUS9217	Laspla
OG0002924_00	LOCUS6147	Laspla
OG0002925_00	LOCUS2373	Laspla
OG0002926_00	LOCUS14452-3	Laspla
OG0002927_00	LOCUS13040	Laspla
OG0002928_00	LOCUS5630	Laspla
OG0002929_00	LOCUS9554	Laspla
OG0002930_00	Kinase-S6K_g11599_i1	Acafer
OG0002931_00	PHD_finger_g03736_i1	Acafer
OG0002932_00	LOCUS5134	Laspla
OG0002933_00	LOCUS10256	Laspla
OG0002934_00	LOCUS2025	Laspla
OG0002935_00	LOCUS2013	Laspla
OG0002936_00	LOCUS10479	Laspla
OG0002937_00	LOCUS11694	Laspla
OG0002938_00	LOCUS13039	Laspla
OG0002939_00	LOCUS8158	Laspla
OG0002940_00	LOCUS9505	Laspla
OG0002941_00	LOCUS14694	Laspla
OG0002942_00	G6Z76_0005384	Acrcha
OG0002943_00	LOCUS9125	Laspla
OG0002944_00	LOCUS8014	Laspla
OG0002945_00	LOCUS8375	Laspla
OG0002946_00	LOCUS14542	Laspla
OG0002947_00	LOCUS5252	Laspla
OG0002948_00	LOCUS14664	Laspla
OG0002949_00	LOCUS596	Laspla
OG0002950_00	LOCUS11093	Laspla
OG0002951_00	ACFW04_008240	Catnig
OG0002952_00	G6Z76_0004842	Acrcha
OG0002953_00	LOCUS13099	Laspla
OG0002954_00	LOCUS1301	Laspla
OG0002955_00	G6Z76_0000503	Acrcha
OG0002956_00	LOCUS14081	Laspla
OG0002957_00	LOCUS1174	Laspla
OG0002958_00	LOCUS8751	Laspla
OG0002959_00	LOCUS8988-2	Laspla
OG0002960_00	LOCUS2638	Laspla
OG0002961_00	LOCUS5900	Laspla
OG0002962_00	LOCUS7332	Laspla
OG0002963_00	LOCUS7331	Laspla
OG0002964_00	LOCUS12168-2	Laspla
OG0002965_00	LOCUS3885	Laspla
OG0002966_00	LOCUS9896	Laspla
OG0002967_00	LOCUS9893	Laspla
OG0002968_00	LOCUS7989	Laspla
OG0002969_00	LOCUS3717-2	Laspla
OG0002970_00	G6Z76_0010978	Acrcha
OG0002971_00	LOCUS11764	Laspla
OG0002972_00	LOCUS3333	Laspla
OG0002973_00	LOCUS11249	Laspla
OG0002974_00	LOCUS11494	Laspla
OG0002975_00	LOCUS5923	Laspla
OG0002976_00	LOCUS634	Laspla
OG0002977_00	LOCUS10651	Laspla
OG0002978_00	LOCUS11445	Laspla
OG0002979_00	LOCUS6985	Laspla
OG0002980_00	LOCUS14549	Laspla
OG0002981_00	LOCUS674	Laspla
OG0002982_00	LOCUS11758	Laspla
OG0002983_00	LOCUS2171	Laspla
OG0002984_00	LOCUS8920	Laspla
OG0002985_00	LOCUS2544	Laspla
OG0002986_00	LOCUS10107	Laspla
OG0002987_00	LOCUS5561	Laspla
OG0002988_00	LOCUS4722	Laspla
OG0002989_00	LOCUS4984	Laspla
OG0002990_00	G6Z76_0009279	Acrcha
OG0002991_00	LOCUS9057	Laspla
OG0002992_00	LOCUS9074	Laspla
OG0002993_00	LOCUS12239	Laspla
OG0002994_00	LOCUS4608	Laspla
OG0002995_00	LOCUS5057	Laspla
OG0002996_00	LOCUS7710	Laspla
OG0002997_00	LOCUS7487	Laspla
OG0002998_00	LOCUS37	Laspla
OG0002999_00	LOCUS12118	Laspla
OG0003000_00	LOCUS9952	Laspla
OG0003001_00	LOCUS10493	Laspla
OG0003002_00	G6Z76_0001912	Acrcha
OG0003003_00	LOCUS8143	Laspla
OG0003004_00	Cytochrome_P450_g01602_i1	Acafer
OG0003005_00	HDAC_g05000_i12	Aphexa
OG0003006_00	PHD_finger_g00978_i1	Acafer
OG0003007_00	PHD_finger_g09405_i1	Acafer
OG0003008_00	Peptidase_M1_membrane_alanine_aminopeptidase_N-terminal_g04562_i1	Acafer
OG0003009_00	LOCUS13260	Laspla
OG0003010_00	LOCUS5856	Laspla
OG0003011_00	LOCUS6778	Laspla
OG0003012_00	G6Z76_0012126	Acrcha
OG0003013_00	LOCUS6545	Laspla
OG0003014_00	LOCUS3000	Laspla
OG0003015_00	G6Z76_0006415	Acrcha
OG0003016_00	LOCUS3335	Laspla
OG0003017_00	LOCUS3323	Laspla
OG0003018_00	LOCUS3084-2	Laspla
OG0003019_00	LOCUS3316	Laspla
OG0003020_00	LOCUS11239	Laspla
OG0003021_00	LOCUS7525	Laspla
OG0003022_00	LOCUS12766	Laspla
OG0003023_00	LOCUS13064	Laspla
OG0003024_00	LOCUS13393	Laspla
OG0003025_00	G6Z76_0013048	Acrcha
OG0003026_00	LOCUS13452	Laspla
OG0003027_00	LOCUS421	Laspla
OG0003028_00	LOCUS2951	Laspla
OG0003029_00	LOCUS1193	Laspla
OG0003030_00	G6Z76_0002221	Acrcha
OG0003031_00	G6Z76_0007558	Acrcha
OG0003032_00	LOCUS13719	Laspla
OG0003033_00	LOCUS8265	Laspla
OG0003034_00	LOCUS10698	Laspla
OG0003035_00	LOCUS5082	Laspla
OG0003036_00	LOCUS8327	Laspla
OG0003037_00	LOCUS12864	Laspla
OG0003038_00	LOCUS7223	Laspla
OG0003039_00	LOCUS14525	Laspla
OG0003040_00	LOCUS12635	Laspla
OG0003041_00	LOCUS10152	Laspla
OG0003042_00	LOCUS8078	Laspla
OG0003043_00	LOCUS3247	Laspla
OG0003044_00	LOCUS9136	Laspla
OG0003045_00	LOCUS9162-2	Laspla
OG0003046_00	G6Z76_0013249	Acrcha
OG0003047_00	LOCUS8675	Laspla
OG0003048_00	LOCUS10232	Laspla
OG0003049_00	LOCUS2316	Laspla
OG0003050_00	G6Z76_0004032	Acrcha
OG0003051_00	LOCUS2117	Laspla
OG0003052_00	LOCUS3599	Laspla
OG0003052_01	G6Z76_0012607	Acrcha
OG0003053_00	LOCUS12130	Laspla
OG0003054_00	LOCUS6519	Laspla
OG0003055_00	LOCUS4199	Laspla
OG0003056_00	LOCUS4069	Laspla
OG0003057_00	LOCUS4018	Laspla
OG0003058_00	LOCUS3918	Laspla
OG0003059_00	G6Z76_0007656	Acrcha
OG0003060_00	LOCUS2558	Laspla
OG0003061_00	LOCUS1075	Laspla
OG0003062_00	G6Z76_0003804	Acrcha
OG0003063_00	LOCUS475	Laspla
OG0003064_00	LOCUS4744	Laspla
OG0003065_00	LOCUS4969	Laspla
OG0003066_00	LOCUS3832	Laspla
OG0003067_00	LOCUS7735	Laspla
OG0003068_00	LOCUS6583	Laspla
OG0003069_00	LOCUS33-2	Laspla
OG0003070_00	LOCUS11327	Laspla
OG0003071_00	LOCUS10971	Laspla
OG0003072_00	LOCUS13006	Laspla
OG0003073_00	LOCUS14626	Laspla
OG0003074_00	LOCUS13153	Laspla
OG0003075_00	G6Z76_0002373	Acrcha
OG0003076_00	LOCUS3603	Laspla
OG0003077_00	LOCUS2035	Laspla
OG0003078_00	LOCUS9957	Laspla
OG0003079_00	LOCUS9925	Laspla
OG0003080_00	LOCUS9903	Laspla
OG0003081_00	LOCUS1999	Laspla
OG0003082_00	LOCUS5742	Laspla
OG0003083_00	LOCUS6363	Laspla
OG0003084_00	LOCUS258	Laspla
OG0003085_00	LOCUS8063	Laspla
OG0003086_00	LOCUS10607	Laspla
OG0003087_00	LOCUS8012	Laspla
OG0003088_00	LOCUS7229	Laspla
OG0003089_00	LOCUS3583	Laspla
OG0003090_00	LOCUS2997	Laspla
OG0003091_00	Chromo-domain_g04117_i1	Acafer
OG0003092_00	LOCUS13217	Laspla
OG0003093_00	Neuropeptide_F_g01077_i1	Acafer
OG0003094_00	PHD_finger_g10115_i1	Acafer
OG0003095_00	Peptidase_T1A_proteasome_beta-subunit_g10015_i1	Acafer
OG0003096_00	LOCUS13773	Laspla
OG0003097_00	LOCUS11310	Laspla
OG0003098_00	LOCUS5157	Laspla
OG0003099_00	G6Z76_0013168	Acrcha
OG0003100_00	LOCUS11211	Laspla
OG0003101_00	LOCUS6743	Laspla
OG0003102_00	LOCUS6777	Laspla
OG0003103_00	LOCUS2277	Laspla
OG0003104_00	LOCUS6474	Laspla
OG0003105_00	LOCUS6542	Laspla
OG0003106_00	LOCUS6541	Laspla
OG0003107_00	LOCUS6323	Laspla
OG0003108_00	LOCUS6307	Laspla
OG0003109_00	LOCUS6304	Laspla
OG0003110_00	LOCUS6295	Laspla
OG0003111_00	LOCUS6622	Laspla
OG0003112_00	LOCUS3111	Laspla
OG0003113_00	LOCUS3145	Laspla
OG0003114_00	LOCUS10668	Laspla
OG0003115_00	LOCUS10665	Laspla
OG0003116_00	LOCUS11247	Laspla
OG0003117_00	LOCUS11253	Laspla
OG0003118_00	LOCUS10811	Laspla
OG0003119_00	LOCUS7482	Laspla
OG0003120_00	LOCUS6033	Laspla
OG0003121_00	LOCUS5958	Laspla
OG0003122_00	LOCUS7885	Laspla
OG0003123_00	LOCUS13636	Laspla
OG0003124_00	LOCUS13078	Laspla
OG0003125_00	G6Z76_0002240	Acrcha
OG0003126_00	LOCUS13213	Laspla
OG0003127_00	LOCUS10990	Laspla
OG0003128_00	LOCUS12034	Laspla
OG0003129_00	LOCUS539	Laspla
OG0003130_00	LOCUS537	Laspla
OG0003131_00	LOCUS1197	Laspla
OG0003132_00	LOCUS5277	Laspla
OG0003133_00	LOCUS14579	Laspla
OG0003134_00	LOCUS14569	Laspla
OG0003135_00	G6Z76_0000714	Acrcha
OG0003136_00	LOCUS14658	Laspla
OG0003137_00	LOCUS1252	Laspla
OG0003138_00	LOCUS1233	Laspla
OG0003139_00	LOCUS11046	Laspla
OG0003140_00	LOCUS13132	Laspla
OG0003141_00	LOCUS13295	Laspla
OG0003142_00	G6Z76_0000470	Acrcha
OG0003143_00	LOCUS5267	Laspla
OG0003144_00	LOCUS3534	Laspla
OG0003145_00	LOCUS3380	Laspla
OG0003146_00	LOCUS3401	Laspla
OG0003147_00	LOCUS2752	Laspla
OG0003148_00	LOCUS2469	Laspla
OG0003149_00	LOCUS7641	Laspla
OG0003150_00	LOCUS947	Laspla
OG0003151_00	LOCUS571	Laspla
OG0003152_00	LOCUS745	Laspla
OG0003153_00	LOCUS765	Laspla
OG0003154_00	LOCUS798	Laspla
OG0003155_00	G6Z76_0008090	Acrcha
OG0003156_00	LOCUS412	Laspla
OG0003157_00	LOCUS914	Laspla
OG0003158_00	LOCUS453	Laspla
OG0003159_00	LOCUS6111	Laspla
OG0003160_00	LOCUS12085	Laspla
OG0003161_00	LOCUS1973	Laspla
OG0003162_00	ACFW04_007808	Catnig
OG0003163_00	LOCUS4582	Laspla
OG0003164_00	LOCUS10756	Laspla
OG0003165_00	LOCUS10703	Laspla
OG0003166_00	LOCUS2843	Laspla
OG0003167_00	LOCUS9460	Laspla
OG0003168_00	LOCUS11816	Laspla
OG0003169_00	LOCUS5098	Laspla
OG0003170_00	G6Z76_0001164	Acrcha
OG0003171_00	LOCUS5196	Laspla
OG0003172_00	LOCUS5190	Laspla
OG0003173_00	LOCUS1270	Laspla
OG0003174_00	LOCUS1278	Laspla
OG0003175_00	LOCUS14632	Laspla
OG0003176_00	LOCUS9565	Laspla
OG0003177_00	G6Z76_0006068	Acrcha
OG0003178_00	LOCUS7245	Laspla
OG0003179_00	LOCUS9519	Laspla
OG0003180_00	LOCUS14651	Laspla
OG0003181_00	LOCUS5647	Laspla
OG0003182_00	LOCUS1899-2	Laspla
OG0003183_00	LOCUS288	Laspla
OG0003184_00	LOCUS8743	Laspla
OG0003185_00	LOCUS8728	Laspla
OG0003186_00	LOCUS2022	Laspla
OG0003187_00	LOCUS2385	Laspla
OG0003188_00	LOCUS6390	Laspla
OG0003189_00	LOCUS6386	Laspla
OG0003190_00	LOCUS12810	Laspla
OG0003191_00	LOCUS6682	Laspla
OG0003192_00	LOCUS10004	Laspla
OG0003193_00	LOCUS2149	Laspla
OG0003194_00	LOCUS10251	Laspla
OG0003195_00	LOCUS10252	Laspla
OG0003196_00	LOCUS10327	Laspla
OG0003197_00	LOCUS9091	Laspla
OG0003198_00	G6Z76_0009605	Acrcha
OG0003199_00	LOCUS8901	Laspla
OG0003200_00	LOCUS8769	Laspla
OG0003201_00	LOCUS8627	Laspla
OG0003202_00	LOCUS8650	Laspla
OG0003203_00	LOCUS9128	Laspla
OG0003204_00	LOCUS9118	Laspla
OG0003205_00	LOCUS9969	Laspla
OG0003206_00	LOCUS316	Laspla
OG0003207_00	LOCUS2642	Laspla
OG0003208_00	LOCUS5262	Laspla
OG0003209_00	LOCUS5714	Laspla
OG0003210_00	LOCUS5777	Laspla
OG0003211_00	LOCUS2676	Laspla
OG0003212_00	LOCUS2691	Laspla
OG0003213_00	LOCUS12191-2	Laspla
OG0003214_00	LOCUS12194	Laspla
OG0003215_00	LOCUS12455	Laspla
OG0003216_00	LOCUS12433	Laspla
OG0003217_00	LOCUS12412	Laspla
OG0003218_00	LOCUS12115	Laspla
OG0003219_00	LOCUS5315	Laspla
OG0003220_00	LOCUS5305	Laspla
OG0003221_00	LOCUS5301	Laspla
OG0003222_00	LOCUS14449	Laspla
OG0003223_00	LOCUS10084	Laspla
OG0003224_00	LOCUS12398	Laspla
OG0003225_00	LOCUS5868	Laspla
OG0003226_00	LOCUS6726-2	Laspla
OG0003227_00	LOCUS6733	Laspla
OG0003228_00	LOCUS6842	Laspla
OG0003229_00	LOCUS6558	Laspla
OG0003230_00	LOCUS6560	Laspla
OG0003231_00	LOCUS6549	Laspla
OG0003232_00	LOCUS3859	Laspla
OG0003233_00	LOCUS4307	Laspla
OG0003234_00	LOCUS4313	Laspla
OG0003235_00	LOCUS3977	Laspla
OG0003236_00	LOCUS4587	Laspla
OG0003237_00	LOCUS3920	Laspla
OG0003238_00	LOCUS14117	Laspla
OG0003239_00	LOCUS13871	Laspla
OG0003240_00	LOCUS13910	Laspla
OG0003241_00	LOCUS5292	Laspla
OG0003242_00	LOCUS5377	Laspla
OG0003243_00	LOCUS2362	Laspla
OG0003244_00	LOCUS7066	Laspla
OG0003245_00	LOCUS9056	Laspla
OG0003246_00	LOCUS6960	Laspla
